model,MAE,RMSE,sMAPE,group
RandomForestRegressor,63.25218032666692,87.61450161788275,4.688316688590004,ML
ExtraTreesRegressor,67.69154208500001,95.20016190993111,5.046905723879884,ML
LGBMRegressor,70.43546733373354,85.56651893742047,5.095201215897633,ML
LinearRegression,99.54432213205733,131.42005277184583,7.1236319606614975,ML
AutoARIMA,109.33119721972616,173.69473946303637,7.8216774545449885,Statistical
AutoETS,110.17233427346358,172.66127789278735,7.88292976176437,Statistical
NBEATS,110.10692737630208,164.917906236792,7.890353566291107,DL
AutoTheta,110.25061273009656,175.70501596990852,7.900003938974589,Statistical
SeasonalNaive,111.01472100000001,174.37090131806718,7.950544036445832,Statistical
NHITS,134.73646750130214,181.1472706419433,9.587468451415448,DL
LSTM,167.19862764322926,188.86183894098883,11.837719624642967,DL
HistoricAverage,177.5045793282794,206.59291756496265,12.586605412123872,Statistical
Naive,186.5993120000001,245.91189108002368,13.046412089943358,Statistical
RWD,187.89511662630215,247.65477387929923,13.126353476387537,Statistical
